Date,High,Low,Open,Close,Volume,Adj Close
2020-11-02,45.060001373291016,44.2400016784668,44.959999084472656,44.459999084472656,33856700.0,43.872650146484375
2020-11-03,45.459999084472656,44.70000076293945,44.72999954223633,44.849998474121094,34349500.0,44.25749969482422
2020-11-04,46.150001525878906,44.779998779296875,45.11000061035156,45.70000076293945,34748200.0,45.09627151489258
2020-11-05,46.380001068115234,45.529998779296875,46.150001525878906,45.68000030517578,31103200.0,45.40439987182617
2020-11-06,45.79999923706055,44.900001525878906,45.540000915527344,45.38999938964844,36233700.0,45.116146087646484
2020-11-09,47.349998474121094,45.540000915527344,46.63999938964844,45.599998474121094,48481700.0,45.32487869262695
2020-11-10,46.47999954223633,45.25,45.400001525878906,45.439998626708984,39224500.0,45.16584396362305
2020-11-11,46.459999084472656,45.86000061035156,45.900001525878906,46.349998474121094,31496900.0,46.07035446166992
2020-11-12,46.189998626708984,44.54999923706055,46.130001068115234,44.95000076293945,42881300.0,44.678802490234375
2020-11-13,45.58000183105469,44.970001220703125,44.9900016784668,45.459999084472656,30884700.0,45.185726165771484
2020-11-16,46.75,45.790000915527344,46.040000915527344,46.189998626708984,36306300.0,45.911319732666016
2020-11-17,46.119998931884766,45.40999984741211,45.75,45.529998779296875,31118000.0,45.25530242919922
2020-11-18,45.689998626708984,45.040000915527344,45.54999923706055,45.060001373291016,32817900.0,44.78813934326172
2020-11-19,45.66999816894531,44.70000076293945,44.91999816894531,45.619998931884766,29469100.0,45.34476089477539
2020-11-20,45.880001068115234,45.33000183105469,45.65999984741211,45.38999938964844,24199300.0,45.116146087646484
2020-11-23,46.209999084472656,45.45000076293945,45.47999954223633,46.060001373291016,35489600.0,45.782108306884766
2020-11-24,47.29999923706055,46.0099983215332,46.290000915527344,47.0099983215332,33901200.0,46.72637176513672
2020-11-25,47.18000030517578,46.56999969482422,47.029998779296875,47.04999923706055,28126900.0,46.76613235473633
2020-11-27,48.099998474121094,47.36000061035156,47.36000061035156,47.45000076293945,15921400.0,47.163719177246094
2020-11-30,48.5,47.27000045776367,47.41999816894531,48.349998474121094,46332700.0,48.05828857421875
2020-12-01,50.22999954223633,48.709999084472656,48.75,49.560001373291016,57778200.0,49.260990142822266
2020-12-02,50.060001373291016,49.18000030517578,49.220001220703125,49.900001525878906,33753500.0,49.59893798828125
2020-12-03,51.11000061035156,49.779998779296875,49.91999816894531,50.9900016784668,50261200.0,50.68236541748047
2020-12-04,52.650001525878906,51.0,51.060001373291016,51.9900016784668,39767700.0,51.67633056640625
2020-12-07,51.290000915527344,49.560001373291016,51.0,50.20000076293945,51040300.0,49.89712905883789
2020-12-08,50.720001220703125,49.810001373291016,49.83000183105469,50.689998626708984,28956500.0,50.38417053222656
2020-12-09,50.84000015258789,49.72999954223633,50.279998779296875,50.06999969482422,34068400.0,49.767913818359375
2020-12-10,50.720001220703125,49.59000015258789,49.65999984741211,50.2599983215332,33706000.0,49.956764221191406
2020-12-11,50.13999938964844,49.119998931884766,50.13999938964844,49.72999954223633,29398800.0,49.429962158203125
2020-12-14,51.34000015258789,49.7400016784668,49.81999969482422,50.470001220703125,33436400.0,50.16550064086914
2020-12-15,51.0099983215332,50.209999084472656,50.97999954223633,50.66999816894531,25473000.0,50.36429214477539
2020-12-16,51.459999084472656,50.68000030517578,50.709999084472656,51.119998931884766,28351000.0,50.81157684326172
2020-12-17,51.31999969482422,50.220001220703125,51.150001525878906,50.650001525878906,26399000.0,50.34441375732422
2020-12-18,50.68000030517578,47.11000061035156,50.56999969482422,47.459999084472656,119298400.0,47.17366027832031
2020-12-21,46.45000076293945,45.2400016784668,46.31999969482422,46.36000061035156,53775700.0,46.08029556274414
2020-12-22,46.34000015258789,45.77000045776367,46.25,46.16999816894531,32171200.0,45.891441345214844
2020-12-23,47.029998779296875,46.06999969482422,46.16999816894531,46.56999969482422,22564200.0,46.28902816772461
2020-12-24,47.09000015258789,46.34000015258789,46.599998474121094,47.06999969482422,11865600.0,46.7860107421875
2020-12-28,47.63999938964844,46.86000061035156,47.189998626708984,47.06999969482422,21269200.0,46.7860107421875
2020-12-29,50.66999816894531,46.4900016784668,47.220001220703125,49.38999938964844,84531400.0,49.09201431274414
2020-12-30,49.189998626708984,48.560001373291016,49.11000061035156,48.75,37385400.0,48.455875396728516
2020-12-31,50.189998626708984,48.720001220703125,48.75,49.81999969482422,28576800.0,49.5194206237793
2021-01-04,51.38999938964844,49.400001525878906,49.88999938964844,49.66999816894531,46102500.0,49.370323181152344
2021-01-05,50.83000183105469,49.33000183105469,49.45000076293945,50.61000061035156,24866600.0,50.304656982421875
2021-01-06,52.150001525878906,50.20000076293945,50.439998626708984,51.099998474121094,36809600.0,50.79169845581055
2021-01-07,52.689998626708984,51.29999923706055,51.4900016784668,52.189998626708984,32092300.0,51.8751220703125
2021-01-08,52.529998779296875,51.27000045776367,52.45000076293945,51.650001525878906,34625400.0,51.338382720947266
2021-01-11,52.2400016784668,51.25,51.290000915527344,51.540000915527344,32933300.0,51.22904586791992
2021-01-12,53.849998474121094,51.560001373291016,51.900001525878906,53.2400016784668,39883900.0,52.91878890991211
